	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description	assay	source	group
2219	ENCFF135HOI	path/to/data/ENCFF135HOI.w5	128	32	2.0	mean	2219	CHIP:H3K36me3:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H3K36me3
2220	ENCFF021KNK	path/to/data/ENCFF021KNK.w5	128	32	2.0	mean	2220	CHIP:H3K4me3:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H3K4me3
2221	ENCFF685RSM	path/to/data/ENCFF685RSM.w5	128	32	2.0	mean	2221	CHIP:H3K9ac:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H3K9ac
2222	ENCFF743ROG	path/to/data/ENCFF743ROG.w5	128	32	2.0	mean	2222	CHIP:H3K27ac:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K27ac
2223	ENCFF231WDC	path/to/data/ENCFF231WDC.w5	128	32	2.0	mean	2223	CHIP:H3K27me3:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K27me3
2224	ENCFF273DOW	path/to/data/ENCFF273DOW.w5	128	32	2.0	mean	2224	CHIP:H3K36me3:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K36me3
2225	ENCFF653ORE	path/to/data/ENCFF653ORE.w5	128	32	2.0	mean	2225	CHIP:H3K4me1:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K4me1
2226	ENCFF434MOL	path/to/data/ENCFF434MOL.w5	128	32	2.0	mean	2226	CHIP:H3K4me2:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K4me2
2227	ENCFF363RJQ	path/to/data/ENCFF363RJQ.w5	128	32	2.0	mean	2227	CHIP:H3K4me3:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K4me3
2228	ENCFF546LUX	path/to/data/ENCFF546LUX.w5	128	32	2.0	mean	2228	CHIP:H3K9ac:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K9ac
2229	ENCFF126AZH	path/to/data/ENCFF126AZH.w5	128	32	2.0	mean	2229	CHIP:H4K20me1:skeletal muscle myoblast male adult (22 years)	chip	encode	H4K20me1
2230	ENCFF423TVA	path/to/data/ENCFF423TVA.w5	128	32	2.0	mean	2230	CHIP:H3K27ac:H1-hESC	chip	encode	H3K27ac
2231	ENCFF572MQQ	path/to/data/ENCFF572MQQ.w5	128	32	2.0	mean	2231	CHIP:H3K79me2:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K79me2
2232	ENCFF310GVO	path/to/data/ENCFF310GVO.w5	128	32	2.0	mean	2232	CHIP:H3K9me3:skeletal muscle myoblast male adult (22 years)	chip	encode	H3K9me3
2233	ENCFF737HMZ	path/to/data/ENCFF737HMZ.w5	128	32	2.0	mean	2233	CHIP:CTCF:myotube	chip	encode	CTCF
2234	ENCFF129YOI	path/to/data/ENCFF129YOI.w5	128	32	2.0	mean	2234	CHIP:H2AFZ:myotube	chip	encode	H2AFZ
2235	ENCFF040VCY	path/to/data/ENCFF040VCY.w5	128	32	2.0	mean	2235	CHIP:H3K27ac:myotube	chip	encode	H3K27ac
2236	ENCFF037YNU	path/to/data/ENCFF037YNU.w5	128	32	2.0	mean	2236	CHIP:H3K36me3:myotube	chip	encode	H3K36me3
2237	ENCFF441CVF	path/to/data/ENCFF441CVF.w5	128	32	2.0	mean	2237	CHIP:H3K4me1:myotube	chip	encode	H3K4me1
2238	ENCFF520IHF	path/to/data/ENCFF520IHF.w5	128	32	2.0	mean	2238	CHIP:H3K4me2:myotube	chip	encode	H3K4me2
2239	ENCFF793JPB	path/to/data/ENCFF793JPB.w5	128	32	2.0	mean	2239	CHIP:H3K4me3:myotube	chip	encode	H3K4me3
2240	ENCFF836JPY	path/to/data/ENCFF836JPY.w5	128	32	2.0	mean	2240	CHIP:CTCF:HeLa-S3	chip	encode	CTCF
2241	ENCFF194XTD	path/to/data/ENCFF194XTD.w5	128	32	2.0	mean	2241	CHIP:H3K27ac:HeLa-S3	chip	encode	H3K27ac
2242	ENCFF752UST	path/to/data/ENCFF752UST.w5	128	32	2.0	mean	2242	CHIP:H3K4me2:HeLa-S3	chip	encode	H3K4me2
2243	ENCFF489CIY	path/to/data/ENCFF489CIY.w5	128	32	2.0	mean	2243	CHIP:H3K4me3:HeLa-S3	chip	encode	H3K4me3
2244	ENCFF303MHF	path/to/data/ENCFF303MHF.w5	128	32	2.0	mean	2244	CHIP:H3K79me2:HeLa-S3	chip	encode	H3K79me2
2245	ENCFF431ISH	path/to/data/ENCFF431ISH.w5	128	32	2.0	mean	2245	CHIP:H3K9ac:HeLa-S3	chip	encode	H3K9ac
2246	ENCFF324PJA	path/to/data/ENCFF324PJA.w5	128	32	2.0	mean	2246	CHIP:H4K20me1:HeLa-S3	chip	encode	H4K20me1
2247	ENCFF598TWA	path/to/data/ENCFF598TWA.w5	128	32	2.0	mean	2247	CHIP:H3K27me3:HepG2	chip	encode	H3K27me3
2248	ENCFF565ZIH	path/to/data/ENCFF565ZIH.w5	128	32	2.0	mean	2248	CHIP:H3K79me2:myotube	chip	encode	H3K79me2
2249	ENCFF033TTE	path/to/data/ENCFF033TTE.w5	128	32	2.0	mean	2249	CHIP:CTCF:astrocyte	chip	encode	CTCF
2250	ENCFF058GEM	path/to/data/ENCFF058GEM.w5	128	32	2.0	mean	2250	CHIP:H3K27ac:astrocyte	chip	encode	H3K27ac
2251	ENCFF184NZS	path/to/data/ENCFF184NZS.w5	128	32	2.0	mean	2251	CHIP:H3K4me3:astrocyte	chip	encode	H3K4me3
2252	ENCFF601YET	path/to/data/ENCFF601YET.w5	128	32	2.0	mean	2252	CHIP:H2AFZ:GM12878	chip	encode	H2AFZ
2253	ENCFF803DJF	path/to/data/ENCFF803DJF.w5	128	32	2.0	mean	2253	CHIP:H3K79me2:GM12878	chip	encode	H3K79me2
2254	ENCFF883NVE	path/to/data/ENCFF883NVE.w5	128	32	2.0	mean	2254	CHIP:H3K9ac:myotube	chip	encode	H3K9ac
2255	ENCFF937FXS	path/to/data/ENCFF937FXS.w5	128	32	2.0	mean	2255	CHIP:H4K20me1:myotube	chip	encode	H4K20me1
2256	ENCFF128DVX	path/to/data/ENCFF128DVX.w5	128	32	2.0	mean	2256	CHIP:H2AFZ:skeletal muscle myoblast male adult (22 years)	chip	encode	H2AFZ
2257	ENCFF614HNF	path/to/data/ENCFF614HNF.w5	128	32	2.0	mean	2257	CHIP:H3K27me3:HeLa-S3	chip	encode	H3K27me3
2258	ENCFF494WCA	path/to/data/ENCFF494WCA.w5	128	32	2.0	mean	2258	CHIP:H2AFZ:K562	chip	encode	H2AFZ
2259	ENCFF901YVS	path/to/data/ENCFF901YVS.w5	128	32	2.0	mean	2259	CHIP:H3K79me2:K562	chip	encode	H3K79me2
2260	ENCFF812HRW	path/to/data/ENCFF812HRW.w5	128	32	2.0	mean	2260	CHIP:H3K9me3:K562	chip	encode	H3K9me3
2261	ENCFF247XSJ	path/to/data/ENCFF247XSJ.w5	128	32	2.0	mean	2261	CHIP:H2AFZ:osteoblast	chip	encode	H2AFZ
2262	ENCFF376MGT	path/to/data/ENCFF376MGT.w5	128	32	2.0	mean	2262	CHIP:H3K27ac:osteoblast	chip	encode	H3K27ac
2263	ENCFF726KMK	path/to/data/ENCFF726KMK.w5	128	32	2.0	mean	2263	CHIP:H3K36me3:osteoblast	chip	encode	H3K36me3
2264	ENCFF858RDM	path/to/data/ENCFF858RDM.w5	128	32	2.0	mean	2264	CHIP:H3K4me1:osteoblast	chip	encode	H3K4me1
2265	ENCFF559URT	path/to/data/ENCFF559URT.w5	128	32	2.0	mean	2265	CHIP:H3K4me2:osteoblast	chip	encode	H3K4me2
2266	ENCFF039BLU	path/to/data/ENCFF039BLU.w5	128	32	2.0	mean	2266	CHIP:H3K9me3:osteoblast	chip	encode	H3K9me3
2267	ENCFF146YJY	path/to/data/ENCFF146YJY.w5	128	32	2.0	mean	2267	CHIP:CTCF:fibroblast of dermis	chip	encode	CTCF
2268	ENCFF969ORH	path/to/data/ENCFF969ORH.w5	128	32	2.0	mean	2268	CHIP:H3K27ac:fibroblast of dermis	chip	encode	H3K27ac
2269	ENCFF684QGK	path/to/data/ENCFF684QGK.w5	128	32	2.0	mean	2269	CHIP:H3K4me3:fibroblast of dermis NONE and female adult	chip	encode	H3K4me3
2270	ENCFF058GCZ	path/to/data/ENCFF058GCZ.w5	128	32	2.0	mean	2270	CHIP:H3K4me1:HepG2	chip	encode	H3K4me1
2271	ENCFF430ZMK	path/to/data/ENCFF430ZMK.w5	128	32	2.0	mean	2271	CHIP:H3K4me1:HeLa-S3	chip	encode	H3K4me1
2272	ENCFF253NQI	path/to/data/ENCFF253NQI.w5	128	32	2.0	mean	2272	CHIP:KDM5B:K562	chip	encode	KDM5B
2273	ENCFF076ZMU	path/to/data/ENCFF076ZMU.w5	128	32	2.0	mean	2273	CHIP:RBBP5:H1-hESC	chip	encode	RBBP5
2274	ENCFF730PEC	path/to/data/ENCFF730PEC.w5	128	32	2.0	mean	2274	CHIP:HDAC1:K562	chip	encode	HDAC1
2275	ENCFF337NZT	path/to/data/ENCFF337NZT.w5	128	32	2.0	mean	2275	CHIP:HDAC2:K562	chip	encode	HDAC2
2276	ENCFF414RIR	path/to/data/ENCFF414RIR.w5	128	32	2.0	mean	2276	CHIP:PHF8:K562	chip	encode	PHF8
2277	ENCFF614LBP	path/to/data/ENCFF614LBP.w5	128	32	2.0	mean	2277	CHIP:RBBP5:K562	chip	encode	RBBP5
2278	ENCFF899OJV	path/to/data/ENCFF899OJV.w5	128	32	2.0	mean	2278	CHIP:SAP30:K562	chip	encode	SAP30
2279	ENCFF576FUZ	path/to/data/ENCFF576FUZ.w5	128	32	2.0	mean	2279	CHIP:CHD1:H1-hESC	chip	encode	CHD1
2280	ENCFF902NIY	path/to/data/ENCFF902NIY.w5	128	32	2.0	mean	2280	CHIP:H3K9me3:myotube	chip	encode	H3K9me3
2281	ENCFF642VOB	path/to/data/ENCFF642VOB.w5	128	32	2.0	mean	2281	CHIP:H2AFZ:HeLa-S3	chip	encode	H2AFZ
2282	ENCFF891XLY	path/to/data/ENCFF891XLY.w5	128	32	2.0	mean	2282	CHIP:H3K9me3:HeLa-S3	chip	encode	H3K9me3
2283	ENCFF525VQI	path/to/data/ENCFF525VQI.w5	128	32	2.0	mean	2283	CHIP:H3K27me3:osteoblast	chip	encode	H3K27me3
2284	ENCFF567GDX	path/to/data/ENCFF567GDX.w5	128	32	2.0	mean	2284	CHIP:H4K20me1:osteoblast	chip	encode	H4K20me1
2285	ENCFF895JGU	path/to/data/ENCFF895JGU.w5	128	32	2.0	mean	2285	CHIP:H2AFZ:DND-41	chip	encode	H2AFZ
2286	ENCFF454MCD	path/to/data/ENCFF454MCD.w5	128	32	2.0	mean	2286	CHIP:H3K27ac:DND-41	chip	encode	H3K27ac
2287	ENCFF147LEK	path/to/data/ENCFF147LEK.w5	128	32	2.0	mean	2287	CHIP:H3K36me3:DND-41	chip	encode	H3K36me3
2288	ENCFF549GYA	path/to/data/ENCFF549GYA.w5	128	32	2.0	mean	2288	CHIP:H3K4me1:DND-41	chip	encode	H3K4me1
2289	ENCFF791ZHJ	path/to/data/ENCFF791ZHJ.w5	128	32	2.0	mean	2289	CHIP:H3K4me3:DND-41	chip	encode	H3K4me3
2290	ENCFF146IXR	path/to/data/ENCFF146IXR.w5	128	32	2.0	mean	2290	CHIP:H3K79me2:DND-41	chip	encode	H3K79me2
2291	ENCFF347EGU	path/to/data/ENCFF347EGU.w5	128	32	2.0	mean	2291	CHIP:H4K20me1:DND-41	chip	encode	H4K20me1
2292	ENCFF775CVC	path/to/data/ENCFF775CVC.w5	128	32	2.0	mean	2292	CHIP:EZH2:GM12878	chip	encode	EZH2
2293	ENCFF062KTR	path/to/data/ENCFF062KTR.w5	128	32	2.0	mean	2293	CHIP:EZH2:mammary epithelial cell female adult (50 years)	chip	encode	EZH2
2294	ENCFF789FNH	path/to/data/ENCFF789FNH.w5	128	32	2.0	mean	2294	CHIP:H2AFZ:mammary epithelial cell female adult (50 years)	chip	encode	H2AFZ
2295	ENCFF921LCI	path/to/data/ENCFF921LCI.w5	128	32	2.0	mean	2295	CHIP:H3K9me3:mammary epithelial cell female adult (50 years)	chip	encode	H3K9me3
2296	ENCFF211JBX	path/to/data/ENCFF211JBX.w5	128	32	2.0	mean	2296	CHIP:EZH2:skeletal muscle myoblast male adult (22 years)	chip	encode	EZH2
2297	ENCFF321AHD	path/to/data/ENCFF321AHD.w5	128	32	2.0	mean	2297	CHIP:EZH2:HepG2	chip	encode	EZH2
2298	ENCFF344HLB	path/to/data/ENCFF344HLB.w5	128	32	2.0	mean	2298	CHIP:H2AFZ:keratinocyte female	chip	encode	H2AFZ
2299	ENCFF690YPY	path/to/data/ENCFF690YPY.w5	128	32	2.0	mean	2299	CHIP:H3K79me2:keratinocyte female	chip	encode	H3K79me2
2300	ENCFF251CYW	path/to/data/ENCFF251CYW.w5	128	32	2.0	mean	2300	CHIP:H3K9me3:keratinocyte female	chip	encode	H3K9me3
2301	ENCFF324EOP	path/to/data/ENCFF324EOP.w5	128	32	2.0	mean	2301	CHIP:EZH2:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	EZH2
2302	ENCFF094EGN	path/to/data/ENCFF094EGN.w5	128	32	2.0	mean	2302	CHIP:H2AFZ:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H2AFZ
2303	ENCFF143LCY	path/to/data/ENCFF143LCY.w5	128	32	2.0	mean	2303	CHIP:H3K9me3:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H3K9me3
2304	ENCFF656QVF	path/to/data/ENCFF656QVF.w5	128	32	2.0	mean	2304	CHIP:H3K9ac:astrocyte	chip	encode	H3K9ac
2305	ENCFF736AZD	path/to/data/ENCFF736AZD.w5	128	32	2.0	mean	2305	CHIP:H4K20me1:astrocyte	chip	encode	H4K20me1
2306	ENCFF920EUW	path/to/data/ENCFF920EUW.w5	128	32	2.0	mean	2306	CHIP:H3K9ac:DND-41	chip	encode	H3K9ac
2307	ENCFF091QTN	path/to/data/ENCFF091QTN.w5	128	32	2.0	mean	2307	CHIP:H3K9me3:DND-41	chip	encode	H3K9me3
2308	ENCFF659QTS	path/to/data/ENCFF659QTS.w5	128	32	2.0	mean	2308	CHIP:H3K79me2:mammary epithelial cell female adult (50 years)	chip	encode	H3K79me2
2309	ENCFF168RCB	path/to/data/ENCFF168RCB.w5	128	32	2.0	mean	2309	CHIP:H2AFZ:endothelial cell of umbilical vein male newborn	chip	encode	H2AFZ
2310	ENCFF492JYB	path/to/data/ENCFF492JYB.w5	128	32	2.0	mean	2310	CHIP:H3K79me2:endothelial cell of umbilical vein male newborn	chip	encode	H3K79me2
2311	ENCFF556JXZ	path/to/data/ENCFF556JXZ.w5	128	32	2.0	mean	2311	CHIP:EZH2:fibroblast of dermis	chip	encode	EZH2
2312	ENCFF528KDW	path/to/data/ENCFF528KDW.w5	128	32	2.0	mean	2312	CHIP:H3K79me2:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H3K79me2
2313	ENCFF637OOB	path/to/data/ENCFF637OOB.w5	128	32	2.0	mean	2313	CHIP:H3K79me2:osteoblast	chip	encode	H3K79me2
2314	ENCFF838MAH	path/to/data/ENCFF838MAH.w5	128	32	2.0	mean	2314	CHIP:H3K4me3:A549 treated with 0.02% ethanol for 1 hour	chip	encode	H3K4me3
2315	ENCFF526GZE	path/to/data/ENCFF526GZE.w5	128	32	2.0	mean	2315	CHIP:H3K27ac:CD14-positive monocyte female	chip	encode	H3K27ac
2316	ENCFF493ZLU	path/to/data/ENCFF493ZLU.w5	128	32	2.0	mean	2316	CHIP:H3K27me3:CD14-positive monocyte female	chip	encode	H3K27me3
2317	ENCFF981RED	path/to/data/ENCFF981RED.w5	128	32	2.0	mean	2317	CHIP:H3K36me3:CD14-positive monocyte female	chip	encode	H3K36me3
2318	ENCFF579IKK	path/to/data/ENCFF579IKK.w5	128	32	2.0	mean	2318	CHIP:H3K4me1:CD14-positive monocyte female	chip	encode	H3K4me1
2319	ENCFF032QOM	path/to/data/ENCFF032QOM.w5	128	32	2.0	mean	2319	CHIP:H3K4me3:CD14-positive monocyte female	chip	encode	H3K4me3
2320	ENCFF142KIH	path/to/data/ENCFF142KIH.w5	128	32	2.0	mean	2320	CHIP:H3K79me2:CD14-positive monocyte female	chip	encode	H3K79me2
2321	ENCFF229JAM	path/to/data/ENCFF229JAM.w5	128	32	2.0	mean	2321	CHIP:H3K9me3:CD14-positive monocyte female	chip	encode	H3K9me3
2322	ENCFF772DVW	path/to/data/ENCFF772DVW.w5	128	32	2.0	mean	2322	CHIP:H4K20me1:CD14-positive monocyte female	chip	encode	H4K20me1
2323	ENCFF645TWL	path/to/data/ENCFF645TWL.w5	128	32	2.0	mean	2323	CHIP:H3K4me3:A549 treated with 100 nM dexamethasone for 1 hour	chip	encode	H3K4me3
2324	ENCFF808VAQ	path/to/data/ENCFF808VAQ.w5	128	32	2.0	mean	2324	CHIP:H3K9ac:A549 treated with 0.02% ethanol for 1 hour	chip	encode	H3K9ac
2325	ENCFF769OSR	path/to/data/ENCFF769OSR.w5	128	32	2.0	mean	2325	CHIP:H3K27me3:DND-41	chip	encode	H3K27me3
2326	ENCFF923UUB	path/to/data/ENCFF923UUB.w5	128	32	2.0	mean	2326	CHIP:H3K9me3:endothelial cell of umbilical vein male newborn	chip	encode	H3K9me3
2327	ENCFF967TSR	path/to/data/ENCFF967TSR.w5	128	32	2.0	mean	2327	CHIP:EZH2:HeLa-S3	chip	encode	EZH2
2328	ENCFF485BCI	path/to/data/ENCFF485BCI.w5	128	32	2.0	mean	2328	CHIP:H3K9me3:HepG2	chip	encode	H3K9me3
2329	ENCFF080TRB	path/to/data/ENCFF080TRB.w5	128	32	2.0	mean	2329	CHIP:H3K9ac:CD14-positive monocyte female	chip	encode	H3K9ac
2330	ENCFF644KJR	path/to/data/ENCFF644KJR.w5	128	32	2.0	mean	2330	CHIP:H3K4me3:osteoblast	chip	encode	H3K4me3
2331	ENCFF815PSP	path/to/data/ENCFF815PSP.w5	128	32	2.0	mean	2331	CHIP:H3K27me3:myotube	chip	encode	H3K27me3
2332	ENCFF896GKF	path/to/data/ENCFF896GKF.w5	128	32	2.0	mean	2332	CHIP:HDAC6:K562	chip	encode	HDAC6
2333	ENCFF935JRI	path/to/data/ENCFF935JRI.w5	128	32	2.0	mean	2333	CHIP:PHF8:H1-hESC	chip	encode	PHF8
2334	ENCFF974NBA	path/to/data/ENCFF974NBA.w5	128	32	2.0	mean	2334	CHIP:CTCF:CD14-positive monocyte female	chip	encode	CTCF
2335	ENCFF375NRQ	path/to/data/ENCFF375NRQ.w5	128	32	2.0	mean	2335	CHIP:H3K79me2:A549 treated with 0.02% ethanol for 1 hour	chip	encode	H3K79me2
2336	ENCFF243FNC	path/to/data/ENCFF243FNC.w5	128	32	2.0	mean	2336	CHIP:HDAC6:H1-hESC	chip	encode	HDAC6
